"week","units","gmv","product_mrp","discount_mrp","discount","sla","procurement_sla","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS","Holiday.Sale"
1,33,39520,3275.1875,1197,63.4524740949946,2.8125,2.71875,0.026578073089701,0.332225913621262,0.983388704318937,0,0.172757475083056,0.0664451827242525,0.664451827242525,0,0,54.6,0
2,2844,2414764,1847.51730554522,849,54.0464385664061,5.0975065128396,3.02754000744325,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,0
3,3021,2349498.35919791,1770.37129428778,777,56.1109015658443,5.53145336225597,2.55169920462762,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
4,2733,2596385.5,2101.10327743902,950,54.7856590296728,5.23551829268293,2.42225609756098,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
5,2401,2436231,4415.95490367776,1014,77.037808987689,5.5468476357268,2.78415061295972,0.0398671096345515,0.541528239202658,1.51162790697674,0,0.262458471760797,0.102990033222591,1.0797342192691,0,0,57.3,0
6,5,2644,1624.6,528,67.499692231934,6.4,1.6,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,0
7,4,4875,2583.25,1218,52.8500919384496,6,2.5,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,1
8,4,1246,586.5,311,46.9735720375107,2.75,1.75,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,1
9,6,1736,716,289,59.6368715083799,6.33333333333333,3,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,1
10,5110,3865451,1570.43345694273,756,51.8604244797638,5.06468891635764,2.59208899876391,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
11,5451,4990356,2087.42339092462,915,56.1660560105777,5.55078792481488,2.61477121701158,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,5689,5326478.00235581,2331.56809410035,936,59.8553436046584,5.56202903877964,2.68608711633891,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,5610,5178626,2476.16287737607,923,62.724584540332,5.93179276928811,2.56429370108088,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
14,4423,4152914,2673.13514770877,938,64.9101168414927,5.95277971621307,2.58153058850896,1.12624584717608,1.44186046511628,16.7873754152824,0.418604651162791,4.61129568106312,1.36212624584718,4.00332225913621,0,0,45.65,0
15,2605,2217296,1947.6335078534,851,56.3059478814402,5.33789770438985,2.52275473217882,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
16,11483,7266719.62067834,4760.48576850095,632,86.7240439162365,5.18415107978675,3.44357097677781,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,1
17,2939,2529818.56667658,1656.48410757946,860,48.0828100876455,6.21690534404471,2.50401676563046,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
18,3926,2848154.96197879,1745.23814569536,725,58.4583913783792,5.84662251655629,2.17245033112583,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
19,4722,3300385.70928019,1504.27374551971,698,53.5988710778936,5.22670250896057,2.36335125448029,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,1
20,3802,3000205,1645.35446452657,789,52.0468071159959,5.90072835176693,2.33693013218236,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,1
21,2769,2132351.5,1780.70410048024,770,56.758677660576,5.81012190616919,2.43886220908755,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,0
22,3909,2933135,1795.88782562467,750,58.2379261500297,5.83359914938862,2.52711323763955,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,0
23,3945,3082902,1779.41882780083,781,56.1092651264552,6.02359958506224,2.46965767634855,1.17607973421927,0.601328903654485,10.3621262458472,0.196013289036545,5.03986710963455,1.56810631229236,2.20598006644518,0,0,46.4,0
24,4519,3541460.50018525,1824.99977174161,783,57.0958850448087,5.51677699155444,2.60191737046336,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,0
25,3754,2801971,1678.05135951662,746,55.543672977036,6.42653117275474,2.52677835759407,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,0
26,5979,4326139,1770.39651871192,723,59.1616910472673,5.77528285465622,2.56135770234987,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,1
27,4282,3383848,2430.29705598456,790,67.4936856770393,5.85617760617761,2.56370656370656,1.18936877076412,0.548172757475083,9.69767441860465,0.242524916943522,5.25913621262458,1.62126245847176,2.13953488372093,0.179401993355482,1.80066445182724,46.45,1
28,4563,3552832,1857.63784149921,778,58.1188548908912,5.9263942199142,2.47843757055769,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,1
29,4132,3185425,3133.70537261698,770,75.4284494410856,5.83783114632335,2.74919534538252,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,0
30,5715,4766064.29745885,2408.48562590975,833,65.413951777879,5.85534934497817,2.66757641921397,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,1
31,3760,3194255.50010994,1752.03667214012,849,51.5421101909389,6.17049808429119,2.57963875205255,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,0
32,4195,3181423.60083339,1498.53623188406,758,49.4173057766516,5.97371653156473,2.52247605011054,0.664451827242525,0.395348837209302,2.47176079734219,0.149501661129568,4.72757475083056,1.54152823920266,1.11627906976744,0.0897009966777409,0.900332225913621,48.7,1
33,4308,3049833.05035884,1678.02597712107,707,57.8671600058912,5.65443279313632,2.50905624404194,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0,50.3,0
34,5834,3829556.57581991,1780.96460803398,656,63.1660282837308,5.43001238718811,2.70960891877544,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0,50.3,1
35,5217,3303440.10034887,1498.8115172956,633,57.7665375068532,5.90271226415094,2.51650943396226,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0,50.3,1
36,5270,3674917.50129534,1307.11845944369,697,46.6766003521483,5.84964014783116,2.40264539972768,1.71760797342193,0.475083056478405,7.68770764119601,0.106312292358804,4.37873754152824,1.46179401993355,1.18936877076412,0.149501661129568,2.64119601328904,49.65,0
37,5969,4715015.1411934,1427.14994829369,789,44.7149894134577,5.37073422957601,2.50620475698035,2.16279069767442,0.488372093023256,9.67441860465116,0.0930232558139535,4.27906976744186,1.44186046511628,1.2093023255814,0.209302325581395,3.69767441860465,49,1
38,3684,3225673.25056292,1462.45997745209,875,40.1693028533721,5.79904171364149,2.51578354002255,2.16279069767442,0.488372093023256,9.67441860465116,0.0930232558139535,4.27906976744186,1.44186046511628,1.2093023255814,0.209302325581395,3.69767441860465,49,0
39,3426,3241770.00213367,1552.37002692193,946,39.0609208117893,5.96440323063117,2.5366437331738,2.16279069767442,0.488372093023256,9.67441860465116,0.0930232558139535,4.27906976744186,1.44186046511628,1.2093023255814,0.209302325581395,3.69767441860465,49,0
40,3564,3539462.5,1627.53097857556,993,38.9873364580079,5.84973943254198,2.47973364215402,1.89036544850498,0.408637873754153,8.5249169435216,0.0664451827242525,4.15282392026578,1.40863787375415,1.14285714285714,0.149501661129568,2.64119601328904,50.4,0
41,3692,3846022.50183975,1698.83048951049,1041,38.7225502233622,5.97258741258741,2.47440559440559,1.2093023255814,0.209302325581395,5.65116279069767,0,3.83720930232558,1.32558139534884,0.976744186046512,0,0,51.8,0
42,3204,3127053,1649.87740693196,975,40.9047001975095,5.91816431322208,2.51155327342747,1.2093023255814,0.209302325581395,5.65116279069767,0,3.83720930232558,1.32558139534884,0.976744186046512,0,0,51.8,0
43,2380,2233120,1619.59336823735,938,42.0842281528447,4.91143106457243,2.27792321116928,1.2093023255814,0.209302325581395,5.65116279069767,0,3.83720930232558,1.32558139534884,0.976744186046512,0,0,51.8,0
44,6173,5542779,1648.06600166251,897,45.5725681438038,6.33965087281796,2.38154613466334,1.2093023255814,0.209302325581395,5.65116279069767,0,3.83720930232558,1.32558139534884,0.976744186046512,0,0,51.8,0
45,3786,3538270,1802.75013491635,934,48.1902687505089,5.79114948731786,2.34079870480302,0.325581395348837,0.186046511627907,7.37209302325581,0.186046511627907,5.51162790697674,1.58139534883721,1.6046511627907,0.255813953488372,1.16279069767442,47.3,0
46,4625,3855243,1611.93528368794,833,48.3229873786135,5.65336879432624,2.25908687943262,0.325581395348837,0.186046511627907,7.37209302325581,0.186046511627907,5.51162790697674,1.58139534883721,1.6046511627907,0.255813953488372,1.16279069767442,47.3,0
47,4794,3881254.25026399,1633.12653061225,809,50.463115696448,5.59785177228786,2.12738990332975,0.325581395348837,0.186046511627907,7.37209302325581,0.186046511627907,5.51162790697674,1.58139534883721,1.6046511627907,0.255813953488372,1.16279069767442,47.3,0
48,5695,5182907.32665657,1748.95649838883,910,47.968974594948,5.31220909416398,2.01163623344074,0.325581395348837,0.186046511627907,7.37209302325581,0.186046511627907,5.51162790697674,1.58139534883721,1.6046511627907,0.255813953488372,1.16279069767442,47.3,1
49,4573,4107423.91703704,1598.35056179775,898,43.8170810920246,5.48988764044944,2.03662921348315,0.365448504983389,0.26578073089701,6.48172757475083,0.079734219269103,3.42524916943522,1.04983388704319,1.17940199335548,0.109634551495017,0.498338870431894,48.9,0
50,4132,3696477,1585.34594325535,894,43.6085225560133,5.60129417620707,2.13563962170234,0.395348837209302,0.325581395348837,5.81395348837209,0,1.86046511627907,0.651162790697674,0.86046511627907,0,0,50.5,0
51,3848,3414050,1598.86750873421,887,44.5232331538078,5.79011018543402,2.15264713786617,0.395348837209302,0.325581395348837,5.81395348837209,0,1.86046511627907,0.651162790697674,0.86046511627907,0,0,50.5,0
52,3395,3329777.25034771,1882.10862913097,980,47.9307418906793,5.80997552019584,2.19828641370869,0.395348837209302,0.325581395348837,5.81395348837209,0,1.86046511627907,0.651162790697674,0.86046511627907,0,0,50.5,0
53,2252,2217227.75029377,1986.82471395881,984,50.4737386702147,5.29702517162471,2.23203661327231,0.282392026578073,0.232558139534884,4.15282392026578,0,1.32890365448505,0.465116279069767,0.614617940199336,0,0,50.5,0
